15,28,23,6,7,25,20,22,14,19,4,30,27,29,13,24,3,5,21,26,18,1,11,2,16,9,12,10,8,17
8,2,7,22,26,24,3,23,6,27,18,14,12,11,16,30,19,21,10,4,20,25,15,5,13,1,28,17,29,9
17,2,23,18,21,6,19,11,7,5,3,29,26,13,28,10,27,15,24,30,22,16,8,9,1,20,25,4,14,12
20,19,21,2,6,4,26,7,12,14,9,10,22,24,28,18,17,23,8,3,11,29,27,13,16,5,30,15,25,1
4,24,20,19,2,22,12,13,3,25,23,18,29,11,28,7,30,26,8,10,14,6,15,27,16,21,1,9,17,5
28,3,12,30,24,26,5,20,13,22,16,19,14,11,2,17,10,7,29,9,1,8,23,18,15,25,21,27,6,4
13,7,2,1,8,19,23,26,25,17,16,10,28,29,12,15,3,21,11,5,14,18,24,20,9,4,30,6,27,22
20,29,22,27,5,30,15,28,10,16,8,12,21,14,2,7,24,4,1,23,26,25,6,9,11,18,3,17,13,19
14,13,23,22,27,5,4,9,19,8,18,11,10,1,21,12,24,28,20,29,17,16,6,7,3,25,26,15,2,30
23,29,26,27,15,25,6,13,9,8,1,30,4,21,12,24,3,19,28,17,18,5,16,7,14,2,20,11,10,22
29,5,12,30,11,25,7,6,28,3,26,4,15,2,10,18,14,17,16,9,22,27,20,1,8,13,21,24,23,19
24,21,16,30,14,19,28,7,8,26,3,12,18,23,29,13,1,27,17,10,25,6,20,9,15,4,22,5,2,11
13,5,1,30,26,9,6,19,12,25,10,29,23,11,24,17,14,4,20,7,28,27,21,2,16,15,18,8,3,22
28,18,12,7,15,2,27,16,25,29,11,3,24,5,8,4,14,23,21,20,26,10,19,13,17,22,9,30,1,6
20,10,23,29,22,19,25,13,24,6,28,26,18,1,5,21,11,12,3,17,4,27,9,7,8,15,16,14,2,30
27,22,2,18,3,1,23,21,12,5,20,8,19,24,11,6,15,9,17,16,13,4,26,28,25,14,7,30,29,10
8,17,18,19,25,24,26,11,4,9,16,12,30,14,3,15,2,20,21,22,5,27,6,29,28,23,1,13,7,10
13,19,17,18,3,20,5,15,21,9,10,22,30,25,7,28,1,27,12,24,29,4,6,23,16,11,26,8,2,14
9,12,1,26,5,21,23,20,25,15,30,6,2,17,7,11,14,10,16,18,27,29,24,28,8,3,4,22,19,13
27,17,14,15,23,12,16,9,2,13,11,29,21,1,5,10,22,28,19,6,7,8,4,25,24,3,20,30,26,18
27,26,18,21,30,12,23,5,29,3,13,8,28,1,9,11,16,14,4,10,20,25,6,24,17,2,15,7,19,22
6,7,16,22,9,17,12,23,19,15,10,13,30,11,4,26,2,18,25,24,14,8,21,27,29,1,5,20,3,28
4,27,18,24,5,13,3,23,1,8,6,15,16,17,9,7,26,10,11,20,22,21,12,2,14,29,30,25,28,19
22,26,25,29,9,20,15,7,4,19,16,13,17,5,21,2,23,27,11,18,30,8,6,1,12,14,28,3,10,24
19,3,23,12,13,8,10,24,9,2,30,1,26,20,14,5,16,29,22,27,4,25,6,11,18,7,28,17,21,15
18,22,29,13,14,24,12,4,3,10,23,27,30,16,26,19,9,7,6,5,20,1,8,17,21,2,25,28,11,15
21,23,12,29,9,16,24,18,8,22,11,20,4,7,25,10,14,1,26,2,6,19,30,5,3,17,15,27,13,28
15,22,12,11,29,7,18,30,8,6,20,25,2,10,16,1,21,26,17,13,14,5,19,3,4,23,9,28,24,27
22,7,10,11,27,12,24,19,28,23,30,13,15,14,20,4,8,1,6,29,2,18,9,5,16,26,21,3,25,17
1,11,8,6,22,9,10,20,3,29,26,27,15,18,7,5,14,19,24,25,30,2,16,21,28,17,12,4,13,23
2,17,14,23,1,15,8,28,7,6,25,18,4,12,3,22,20,30,27,21,9,24,13,29,16,26,19,11,10,5
3,6,17,20,26,27,7,18,29,8,11,19,1,21,12,13,28,10,25,22,2,5,24,23,14,9,15,30,4,16
19,3,27,11,20,6,1,14,26,9,17,28,2,5,30,18,29,16,4,10,13,21,24,22,23,25,15,12,7,8
11,17,13,19,23,16,29,21,4,28,9,8,2,6,10,7,12,3,5,20,25,22,30,15,1,14,18,24,26,27
7,16,4,24,23,13,28,29,26,17,12,14,11,5,27,30,8,2,21,9,25,1,10,3,19,22,18,6,20,15
25,22,4,15,3,8,9,10,28,24,12,11,21,6,16,20,14,2,1,19,13,26,29,23,27,18,17,30,5,7
15,14,23,28,18,2,4,9,7,30,6,10,29,5,27,24,11,17,26,12,19,20,1,8,25,13,22,21,3,16
14,24,3,17,20,19,8,25,13,4,29,15,16,6,21,12,9,7,2,5,11,30,23,28,1,26,27,10,22,18
21,30,12,16,14,7,24,18,23,17,5,27,10,1,6,28,4,20,9,26,25,15,11,3,19,29,22,13,2,8
20,3,6,10,7,11,8,30,23,25,29,15,27,21,2,4,12,26,16,9,13,19,28,14,5,24,17,1,22,18
28,5,13,29,27,22,21,8,18,6,11,12,23,17,1,15,25,9,14,2,19,16,4,20,26,10,3,30,24,7
8,29,25,21,7,14,15,10,19,27,28,17,2,30,5,4,6,26,12,24,18,3,20,23,9,11,1,16,22,13
14,20,30,16,12,1,13,5,18,6,2,9,23,22,3,25,8,4,15,29,27,11,19,7,28,26,24,10,17,21
27,17,23,14,18,13,16,9,26,19,3,21,7,4,8,6,25,1,20,10,30,15,29,28,24,5,11,2,22,12
16,23,6,1,9,11,7,28,29,17,2,22,27,8,3,26,21,14,5,30,24,13,18,20,10,19,4,25,12,15
21,30,18,5,11,23,6,3,20,9,7,1,10,28,19,22,29,15,24,2,4,27,26,17,16,8,12,14,25,13
8,21,6,17,5,7,27,19,24,2,12,28,29,10,25,3,4,15,18,22,14,9,1,26,16,30,20,11,23,13
9,25,27,1,14,3,23,10,15,29,7,12,18,28,22,6,21,4,16,24,2,20,19,26,17,13,30,8,5,11
19,28,23,15,7,25,14,17,27,21,24,10,11,1,29,2,22,8,12,3,9,16,4,20,18,5,13,6,30,26
29,6,7,19,1,12,8,15,4,20,17,18,14,24,28,23,9,2,21,13,30,25,16,22,5,11,26,3,27,10
1,5,11,29,21,23,26,2,14,4,30,9,27,13,16,7,12,8,19,24,25,28,20,6,10,15,18,17,22,3
11,8,14,2,13,5,23,26,7,3,30,1,25,22,4,16,12,19,24,9,20,27,29,15,28,18,10,17,6,21
8,6,12,21,17,2,27,15,10,11,28,30,26,3,7,18,4,13,5,24,29,19,16,23,22,1,25,14,20,9
27,12,16,22,10,15,20,30,4,24,13,26,11,18,3,5,28,2,14,9,7,1,6,8,17,23,19,29,21,25
17,21,6,13,1,11,27,8,14,4,22,3,2,30,9,7,15,5,28,23,16,10,26,19,12,29,18,24,20,25
17,27,22,5,7,2,28,21,30,1,14,24,29,9,10,12,15,4,11,18,23,3,16,8,20,26,25,19,6,13
10,29,6,27,14,8,21,1,12,22,13,18,5,2,15,30,4,28,23,3,19,7,9,25,11,17,16,26,20,24
14,3,9,19,7,18,16,8,5,30,12,26,10,1,27,25,17,22,4,23,20,6,24,13,15,21,2,29,28,11
11,8,29,15,3,17,7,22,30,25,26,9,27,19,18,14,12,23,21,24,4,5,20,1,28,2,10,16,13,6
13,14,23,19,28,27,24,26,11,1,21,22,30,3,16,7,8,4,20,12,15,2,18,6,5,25,29,17,9,10
22,16,17,29,7,28,15,21,4,20,9,12,6,8,18,5,24,25,27,23,19,14,26,30,2,13,1,10,3,11
28,14,1,6,4,17,16,29,30,12,5,19,11,7,21,27,22,18,9,23,25,3,10,24,26,15,13,8,2,20
14,29,2,15,25,11,27,8,4,6,5,1,24,3,28,12,17,19,22,23,21,18,20,9,30,7,16,10,13,26
29,28,24,21,18,11,26,17,22,5,15,8,27,2,12,19,6,10,23,20,1,25,3,9,7,4,16,14,13,30
8,27,11,14,26,1,10,2,16,3,4,23,12,5,15,6,9,30,22,20,18,29,19,25,21,17,7,13,24,28
20,5,28,2,17,18,10,30,15,11,3,14,24,9,21,1,16,22,8,6,4,23,26,25,19,13,7,12,27,29
23,9,16,4,21,2,15,29,7,11,1,19,17,14,30,6,28,22,20,13,8,3,5,24,10,18,12,26,27,25
9,4,17,21,14,5,11,22,23,7,24,6,2,15,19,12,10,27,30,16,26,25,8,20,18,28,3,13,1,29
23,1,25,14,16,22,12,20,18,29,13,10,5,9,30,28,17,21,2,4,11,6,19,8,7,3,26,24,15,27
26,23,1,20,22,8,4,30,29,21,24,10,19,15,17,9,11,7,12,18,6,27,5,25,3,14,13,16,28,2
1,7,26,19,27,18,12,28,2,10,30,9,5,15,4,20,24,22,3,11,6,13,23,29,16,8,17,14,25,21
27,26,13,8,3,15,2,17,12,10,24,18,19,4,9,29,6,25,22,21,30,20,5,14,16,23,11,1,28,7
1,20,12,4,2,26,9,7,21,6,10,8,18,11,23,22,3,29,27,17,25,13,5,24,30,19,28,14,15,16
29,10,5,23,30,2,4,16,22,7,25,18,14,24,6,27,13,15,28,26,3,20,12,8,11,9,21,1,19,17
8,25,10,22,15,18,13,2,5,6,9,27,20,17,28,12,24,19,29,1,16,21,3,23,14,30,26,11,7,4
25,10,4,6,26,2,16,27,24,13,9,1,29,15,21,17,12,3,11,19,23,20,28,22,18,5,30,7,14,8
20,17,5,13,15,3,19,6,22,26,27,10,28,29,14,23,8,7,16,21,24,2,25,1,12,4,18,11,9,30
24,6,12,17,19,9,14,29,16,5,15,18,30,28,21,26,2,1,22,27,10,7,4,13,20,8,23,11,3,25
12,21,27,24,1,2,20,30,8,11,4,19,29,9,17,5,13,10,22,25,16,23,6,15,14,7,18,26,3,28
6,23,29,7,12,2,14,9,24,4,26,30,18,5,8,13,11,28,19,21,10,15,3,25,16,27,1,17,20,22
20,12,14,9,28,4,15,23,22,30,11,10,1,25,13,29,24,16,2,27,21,7,3,8,17,5,18,6,19,26
23,3,4,22,12,26,13,9,18,5,8,25,28,19,14,7,20,15,16,6,17,10,11,1,29,27,21,2,30,24
29,30,15,1,18,4,23,5,12,8,11,28,20,22,26,3,2,16,25,24,27,19,17,6,13,21,14,10,7,9
29,24,27,6,11,19,26,16,10,18,22,3,30,28,12,1,23,2,17,15,20,5,14,8,9,13,7,21,4,25
23,13,26,8,14,22,27,7,25,24,16,5,2,9,3,1,21,17,4,18,12,11,10,28,15,6,19,20,29,30
28,22,3,12,29,4,19,1,17,14,2,24,21,27,10,6,25,5,26,15,9,18,16,30,23,11,20,13,8,7
26,6,9,14,17,30,15,16,27,28,8,21,3,5,20,2,1,24,18,25,29,22,11,23,10,7,19,4,12,13
4,13,11,15,12,18,21,8,20,26,10,9,16,2,23,7,25,29,14,6,1,17,5,27,19,22,28,30,24,3
26,22,19,5,23,15,6,30,17,28,18,29,25,10,4,1,8,7,20,13,16,27,3,24,21,2,14,12,9,11
21,11,2,9,7,16,8,22,20,23,1,29,5,6,3,30,26,13,28,4,25,12,15,10,27,24,18,14,19,17
21,17,8,4,19,11,9,25,12,26,1,24,28,13,2,16,20,18,5,22,15,27,14,3,23,29,30,6,7,10
25,17,29,15,26,5,1,8,9,12,3,14,27,6,2,4,30,22,28,23,20,16,21,13,24,11,7,10,19,18
24,3,12,7,30,6,18,25,16,14,15,11,19,13,1,4,29,22,17,9,23,21,8,28,20,5,2,10,26,27
24,18,3,5,10,21,1,22,15,7,20,19,26,30,27,25,14,4,6,8,23,29,11,16,9,2,17,12,28,13
23,5,4,26,19,2,24,29,16,1,3,7,28,8,12,15,25,13,22,21,30,9,17,11,20,10,14,27,18,6
4,23,25,29,22,17,12,10,3,11,26,6,13,24,9,30,21,7,1,15,5,19,16,28,20,27,18,2,8,14
2,18,17,9,25,20,16,8,10,29,27,6,13,11,7,22,12,24,30,5,14,23,1,19,3,28,15,4,21,26
24,1,5,29,12,22,9,16,30,4,26,15,7,13,6,8,11,25,2,19,3,10,21,23,18,14,28,27,17,20
28,7,8,5,20,9,13,25,10,21,16,27,1,18,2,22,11,23,15,29,17,14,19,6,30,4,3,24,26,12
30,21,12,16,3,20,10,25,18,2,4,23,13,5,24,26,22,11,15,8,29,1,27,17,9,14,6,7,19,28
